데이터구분_API출처,세부유형,공공데이터_식별코드(ID),관광지_시설_코스명,권역구분,상세주소,위도(Latitude),경도(Longitude),전화번호_안내처,상세설명_스토리텔링_운영정보,오프스부산_서비스융합_활용내역
Durunubi (두루누비 걷기여행길),도보산책로(쉬움),ROUTE_BUSAN_G2_2,광안리 해변로 & 민락수변 산책길 (갈맷길 2코스 2구간),광안리,부산광역시 수영구 광안해변로 일원,35.1528,129.1185,수영구청 문화공보과 (051-610-4062),"광안리 백사장과 광안대교 조명이 어우러지는 완만한 평지 보행길 (소요시간: 20분, 총거리 1.4km).",광안리 해변 코워킹스페이스 퇴근 후 평지 산책 및 러닝 코스 연계
Durunubi (두루누비 걷기여행길),도보산책로(쉬움),ROUTE_BUSAN_DONGBAEK,해운대 동백섬 해안 데크길,해운대,부산광역시 해운대구 우동 710-1,35.1534,129.1521,해운대구 관광시설사업소 (051-749-7621),"울창한 동백나무 숲과 누리마루 APEC하우스, 바다 바위 절경을 감상하는 순환 데크길 (소요시간: 25분, 총거리 1.6km).",센텀/해운대 워케이션족의 퇴근 후 스트레스 완화 산책 코스
Odii (스마트투어 오디오가이드),역사/문화 스토리텔링,ODII_YEONGDO_01,영도 흰여울마을과 피란민의 애환,영도,부산광역시 영도구 영선동4가 1044-6,35.0789,129.0441,한국관광공사 스마트관광팀 (033-738-3000),"6.25 한국전쟁 당시 피란민들이 절벽 끝에 터를 잡고 살았던 흰여울의 역사와 바다 이야기 (오디오 길이: 3분 42초, 국문 MP3 스트리밍).",절영해안산책로 도보 이동 중 백그라운드 오디오 플레이어 자동 연동
Odii (스마트투어 오디오가이드),역사/문화 스토리텔링,ODII_CHORYANG_02,초량 168계단과 우물터의 추억,초량/동구,부산광역시 동구 초량동 994-159,35.1182,129.0375,한국관광공사 스마트관광팀 (033-738-3000),"부산항을 내려다보는 가장 가파른 골목 168계단과 물지게를 지고 나르던 부모님들의 이야기 (오디오 길이: 4분 15초, 국문 MP3 스트리밍).",초량 이바구길 진입 시 위치 기반 스토리텔링 오디오 자동 제공
Odii (스마트투어 오디오가이드),해양/설화 스토리텔링,ODII_JAGALCHI_03,자갈치 아지매의 억척스러운 생명력,남포/중구,부산광역시 중구 자갈치해안로 52,35.0967,129.0308,한국관광공사 스마트관광팀 (033-738-3000),"""오이소, 보이소, 사이소!"" 한국 현대사를 지탱한 자갈치 시장 상인들의 열정과 삶 (오디오 길이: 3분 10초, 국문 MP3 스트리밍).",자갈치 노포 미식 코스 이동 시 청취 가능한 로컬 해설
Odii (스마트투어 오디오가이드),야경/경관 스토리텔링,ODII_GWANGAN_04,광안대교 다이아몬드 브릿지와 바다 빛 축제,광안리,부산광역시 수영구 광안해변로 219,35.1532,129.1189,한국관광공사 스마트관광팀 (033-738-3000),"국내 최대 해상 복층 교량인 광안대교의 건축 미학과 매일 밤 펼쳐지는 미디어 파사드 조명 쇼 (오디오 길이: 2분 55초, 국문 MP3 스트리밍).",광안리 해변로 도보 코스에서 광안대교 조망 시 실시간 스트리밍
오프스부산 융합코스 (공공데이터 가공),30분 퇴근길 타임어택 코스,COURSE_OPT_01,[영도 코스] 블루포트 ➔ 삼진어묵 ➔ 절영해안산책로 ➔ 브릿지호텔,영도,부산광역시 영도구 대교로46번길 24 일원,35.0912,129.0435,오프스 부산 운영사무국 (jguy12@hanmail.net),"18:00 업무 종료 후 8분 만에 따뜻한 수제 어묵 섭취, 절영해안길 노을 감상(Odii 청취 3분 42초) 후 영도 숙소 체크인 완성 (총 30분 소요).",KorService2(삼진어묵) + Durunubi(절영산책로) + Odii(흰여울이야기) 완벽 융합
오프스부산 융합코스 (공공데이터 가공),30분 퇴근길 타임어택 코스,COURSE_OPT_02,[초량 코스] 아스티 거점센터 ➔ 초량1941 ➔ 168계단 모노레일 ➔ 하운드호텔,초량/동구,부산광역시 동구 중앙대로 214번길 일원,35.1158,129.0416,오프스 부산 운영사무국 (jguy12@hanmail.net),"부산역 센터 퇴근 후 적산가옥 바닐라우유 테이크아웃, 168계단 모노레일 타고 부산항 야경 조망 (총 28분 소요).",KorService2(초량1941) + Durunubi(이바구길) + Odii(우물터이야기) 완벽 융합
오프스부산 융합코스 (공공데이터 가공),30분 퇴근길 타임어택 코스,COURSE_OPT_03,[광안 코스] 광안 코워킹 ➔ 밀락더마켓 ➔ 광안해변로 산책 ➔ 호텔아쿠아펠리스,광안리,부산광역시 수영구 광안해변로 일원,35.1532,129.1189,오프스 부산 운영사무국 (jguy12@hanmail.net),"광안리 오션뷰 업무 종료 후 밀락더마켓 피쉬앤칩스, 광안대교 조명 아래 20분 해변 산책 (총 30분 소요).",KorService2(밀락더마켓) + Durunubi(광안해변길) + Odii(광안대교해설) 완벽 융합
로컬상생 파트너십 (게이미피케이션),로컬 제휴 바우처,BENEFIT_SAMJIN,삼진어묵 영도본점 - 퇴근길 어묵고로케 1개 무료 증정,영도,부산광역시 영도구 태종로99번길 36,35.0931,129.0408,051-412-5468,오프스 부산 워케이션 산책로 완주 포인트 300P 차감 시 즉시 교환 가능한 모바일 바우처.,도보 걷기 포인트 리워드를 로컬 상권 실질 소비로 연결
로컬상생 파트너십 (게이미피케이션),로컬 제휴 바우처,BENEFIT_CHORYANG,초량1941 - 시그니처 바닐라우유 15% 할인권,초량/동구,부산광역시 동구 망양로 533-5,35.1221,129.0345,051-462-7774,초량 이바구길 168계단 완주 및 Odii 오디오 청취 인증 시 지급되는 할인 바우처.,원도심 산복도로 보행 유도 및 로컬 식음료 매출 증대 기여
